start_year,minerals_definition,outcome,sample,estimator,interaction_coef,std_error,p_value,n_obs,status,note
2013,broad,level,ex_2020,ARDL_long_run,-7.219893,2.536856,0.019214,23.0,ok,"AIC lags y=[1]; x={'minerals_broad_B': [0, 1], 'brent_annual_mean': [0], 'kzt_usd': [0, 1], 'log_kz_gdp': [0], 'log_cn_gdp': [0], 'post_2013': [0, 1], 'post_2013_x_minerals_broad_B': [0, 1]}"
2013,broad,level,ex_2020,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,broad,level,ex_both,OLS,-3.7465,0.643006,0.0,22.0,ok,
2013,broad,level,ex_both,ARDL_long_run,-7.361219,2.036176,0.00683,22.0,ok,"AIC lags y=[1]; x={'minerals_broad_B': [0, 1], 'brent_annual_mean': [0], 'kzt_usd': [0, 1], 'log_kz_gdp': [0], 'log_cn_gdp': [0], 'post_2013': [0, 1], 'post_2013_x_minerals_broad_B': [0, 1]}"
2013,broad,level,ex_both,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,broad,ratio,full,OLS,-0.142791,0.054421,0.008694,24.0,ok,
2013,broad,ratio,full,ARDL_long_run,-0.111028,0.065313,0.11721,24.0,ok,"AIC lags y=[1]; x={'minerals_broad_B': [0, 1], 'kzt_usd': [0, 1], 'log_cn_gdp': [0, 1], 'post_2013': [0, 1], 'post_2013_x_minerals_broad_B': [0, 1]}"
2013,broad,ratio,full,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,broad,ratio,ex_2009,OLS,-0.123347,0.065237,0.058658,23.0,ok,
2013,broad,ratio,ex_2009,ARDL_long_run,-0.289342,0.043737,0.000167,23.0,ok,"AIC lags y=[1]; x={'minerals_broad_B': [0, 1], 'brent_annual_mean': [0, 1], 'kzt_usd': [0, 1], 'log_kz_gdp': [0, 1], 'post_2013': [0, 1], 'post_2013_x_minerals_broad_B': [0, 1]}"
2013,broad,ratio,ex_2009,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,broad,ratio,ex_2020,OLS,-0.120393,0.041389,0.003628,23.0,ok,
2013,broad,ratio,ex_2020,ARDL_long_run,-0.407231,0.136771,0.01154,23.0,ok,"AIC lags y=[1]; x={'minerals_broad_B': [0, 1], 'brent_annual_mean': [0], 'log_kz_gdp': [0], 'log_cn_gdp': [0, 1], 'post_2013': [0], 'post_2013_x_minerals_broad_B': [0]}"
2013,broad,ratio,ex_2020,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,broad,ratio,ex_both,OLS,-0.117236,0.056234,0.037088,22.0,ok,
2013,broad,ratio,ex_both,ARDL_long_run,-0.373303,0.112475,0.006122,22.0,ok,"AIC lags y=[1]; x={'brent_annual_mean': [0, 1], 'log_kz_gdp': [0], 'log_cn_gdp': [0, 1], 'post_2013': [0], 'post_2013_x_minerals_broad_B': [0]}"
2013,broad,ratio,ex_both,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,wits_legacy,level,full,OLS,-3.453512,0.654755,0.0,24.0,ok,
2013,wits_legacy,level,full,ARDL_long_run,-3.096088,0.578084,0.000321,24.0,ok,"AIC lags y=[1]; x={'minerals_wits_legacy_B': [0, 1], 'brent_annual_mean': [0], 'kzt_usd': [0, 1], 'log_cn_gdp': [0, 1], 'post_2013': [0, 1], 'post_2013_x_minerals_wits_legacy_B': [0, 1]}"
2013,wits_legacy,level,full,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,wits_legacy,level,ex_2009,OLS,-3.914901,0.784878,1e-06,23.0,ok,
2013,wits_legacy,level,ex_2009,ARDL_long_run,-2.874942,0.336492,2e-06,23.0,ok,"AIC lags y=None; x={'minerals_wits_legacy_B': [0, 1], 'brent_annual_mean': [0], 'kzt_usd': [0, 1], 'log_kz_gdp': [0], 'post_2013': [0, 1], 'post_2013_x_minerals_wits_legacy_B': [0, 1]}"
2013,wits_legacy,level,ex_2009,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,wits_legacy,level,ex_2020,OLS,-3.219428,0.534439,0.0,23.0,ok,
2013,wits_legacy,level,ex_2020,ARDL_long_run,-2.225318,0.532623,0.001542,23.0,ok,"AIC lags y=None; x={'minerals_wits_legacy_B': [0, 1], 'brent_annual_mean': [0], 'kzt_usd': [0, 1], 'log_cn_gdp': [0, 1], 'post_2013': [0, 1], 'post_2013_x_minerals_wits_legacy_B': [0, 1]}"
2013,wits_legacy,level,ex_2020,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,wits_legacy,level,ex_both,OLS,-3.843447,0.704026,0.0,22.0,ok,
2013,wits_legacy,level,ex_both,ARDL_long_run,-4.099236,0.60715,8.3e-05,22.0,ok,"AIC lags y=[1]; x={'minerals_wits_legacy_B': [0, 1], 'brent_annual_mean': [0], 'kzt_usd': [0, 1], 'log_kz_gdp': [0], 'post_2013': [0, 1], 'post_2013_x_minerals_wits_legacy_B': [0, 1]}"
2013,wits_legacy,level,ex_both,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,wits_legacy,ratio,full,OLS,-0.144356,0.057126,0.011505,24.0,ok,
2013,wits_legacy,ratio,full,ARDL_long_run,0.143374,0.06306,0.044029,24.0,ok,"AIC lags y=[1]; x={'minerals_wits_legacy_B': [0, 1], 'brent_annual_mean': [0, 1], 'log_cn_gdp': [0, 1], 'post_2013': [0, 1], 'post_2013_x_minerals_wits_legacy_B': [0, 1]}"
2013,wits_legacy,ratio,full,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,wits_legacy,ratio,ex_2009,OLS,-0.132698,0.065508,0.042799,23.0,ok,
2013,wits_legacy,ratio,ex_2009,ARDL_long_run,-0.128752,0.028269,0.000824,23.0,ok,"AIC lags y=None; x={'minerals_wits_legacy_B': [0], 'brent_annual_mean': [0], 'kzt_usd': [0, 1], 'log_kz_gdp': [0], 'log_cn_gdp': [0, 1], 'post_2013': [0, 1], 'post_2013_x_minerals_wits_legacy_B': [0, 1]}"
2013,wits_legacy,ratio,ex_2009,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,wits_legacy,ratio,ex_2020,OLS,-0.121488,0.042143,0.003942,23.0,ok,
2013,wits_legacy,ratio,ex_2020,ARDL_long_run,0.042802,0.036408,0.262534,23.0,ok,"AIC lags y=[1]; x={'brent_annual_mean': [0, 1], 'log_kz_gdp': [0], 'log_cn_gdp': [0], 'post_2013': [0, 1], 'post_2013_x_minerals_wits_legacy_B': [0, 1]}"
2013,wits_legacy,ratio,ex_2020,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,wits_legacy,ratio,ex_both,OLS,-0.125972,0.055877,0.024167,22.0,ok,
2013,wits_legacy,ratio,ex_both,ARDL_long_run,-0.109991,0.06712,0.132308,22.0,ok,"AIC lags y=[1]; x={'brent_annual_mean': [0, 1], 'log_kz_gdp': [0], 'log_cn_gdp': [0, 1], 'post_2013': [0, 1], 'post_2013_x_minerals_wits_legacy_B': [0, 1]}"
2013,wits_legacy,ratio,ex_both,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,narrow,level,full,OLS,-3.220476,1.042891,0.002015,24.0,ok,
2014,narrow,level,full,ARDL_long_run,-1.731751,0.428019,0.001203,24.0,ok,"AIC lags y=None; x={'minerals_narrow_B': [0], 'brent_annual_mean': [0, 1], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_narrow_B': [0, 1]}"
2014,narrow,level,full,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,narrow,level,ex_2009,OLS,-3.309086,1.166686,0.004564,23.0,ok,
2014,narrow,level,ex_2009,ARDL_long_run,-0.880328,0.83431,0.310569,23.0,ok,"AIC lags y=None; x={'minerals_narrow_B': [0, 1], 'log_kz_gdp': [0], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_narrow_B': [0, 1]}"
2014,narrow,level,ex_2009,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,narrow,level,ex_2020,OLS,-3.266153,0.720787,6e-06,23.0,ok,
2014,narrow,level,ex_2020,ARDL_long_run,-13.701246,40.107036,0.737713,23.0,ok,"AIC lags y=[1]; x={'minerals_narrow_B': [0, 1], 'brent_annual_mean': [0], 'log_kz_gdp': [0], 'log_cn_gdp': [0], 'post_2014_x_minerals_narrow_B': [0]}"
2014,narrow,level,ex_2020,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,narrow,level,ex_both,OLS,-3.559223,0.862536,3.7e-05,22.0,ok,
2014,narrow,level,ex_both,ARDL_long_run,-2.629815,0.429019,2.6e-05,22.0,ok,"AIC lags y=None; x={'minerals_narrow_B': [0, 1], 'brent_annual_mean': [0], 'log_kz_gdp': [0], 'log_cn_gdp': [0], 'post_2014': [0], 'post_2014_x_minerals_narrow_B': [0]}"
2014,narrow,level,ex_both,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,narrow,ratio,full,OLS,-0.10065,0.0874,0.249483,24.0,ok,
2014,narrow,ratio,full,ARDL_long_run,,,,,failed,interaction not selected by AIC ARDL
2014,narrow,ratio,full,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,narrow,ratio,ex_2009,OLS,-0.082145,0.092222,0.373075,23.0,ok,
2014,narrow,ratio,ex_2009,ARDL_long_run,1.038312,2.327746,0.663497,23.0,ok,"AIC lags y=[1]; x={'minerals_narrow_B': [0, 1], 'log_kz_gdp': [0, 1], 'log_cn_gdp': [0], 'post_2014': [0, 1], 'post_2014_x_minerals_narrow_B': [0]}"
2014,narrow,ratio,ex_2009,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,narrow,ratio,ex_2020,OLS,-0.104821,0.057242,0.067073,23.0,ok,
2014,narrow,ratio,ex_2020,ARDL_long_run,0.194941,0.091189,0.061244,23.0,ok,"AIC lags y=[1]; x={'minerals_narrow_B': [0, 1], 'brent_annual_mean': [0, 1], 'kzt_usd': [0], 'log_kz_gdp': [0, 1], 'log_cn_gdp': [0, 1], 'post_2014_x_minerals_narrow_B': [0, 1]}"
2014,narrow,ratio,ex_2020,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,narrow,ratio,ex_both,OLS,-0.104181,0.064596,0.106784,22.0,ok,
2014,narrow,ratio,ex_both,ARDL_long_run,0.324023,0.125079,0.026925,22.0,ok,"AIC lags y=[1]; x={'minerals_narrow_B': [0, 1], 'brent_annual_mean': [0], 'log_kz_gdp': [0, 1], 'log_cn_gdp': [0, 1], 'post_2014_x_minerals_narrow_B': [0, 1]}"
2014,narrow,ratio,ex_both,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,broad,level,full,OLS,-3.673711,0.541458,0.0,24.0,ok,
2014,broad,level,full,ARDL_long_run,-4.488005,0.849214,0.000504,24.0,ok,"AIC lags y=[1]; x={'minerals_broad_B': [0, 1], 'kzt_usd': [0, 1], 'log_kz_gdp': [0, 1], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_broad_B': [0, 1]}"
2014,broad,level,full,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,broad,level,ex_2009,OLS,-3.841202,0.598705,0.0,23.0,ok,
2014,broad,level,ex_2009,ARDL_long_run,-3.285147,1.025413,0.012542,23.0,ok,"AIC lags y=None; x={'minerals_broad_B': [0, 1], 'brent_annual_mean': [0, 1], 'kzt_usd': [0, 1], 'log_kz_gdp': [0, 1], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_broad_B': [0, 1]}"
2014,broad,level,ex_2009,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,broad,level,ex_2020,OLS,-3.46704,0.436823,0.0,23.0,ok,
2014,broad,level,ex_2020,ARDL_long_run,-5.012962,1.982742,0.029958,23.0,ok,"AIC lags y=[1]; x={'minerals_broad_B': [0, 1], 'kzt_usd': [0, 1], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_broad_B': [0, 1]}"
2014,broad,level,ex_2020,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,broad,level,ex_both,OLS,-3.747879,0.518209,0.0,22.0,ok,
2014,broad,level,ex_both,ARDL_long_run,0.716861,2.716328,0.800681,22.0,ok,"AIC lags y=[1]; x={'minerals_broad_B': [0, 1], 'brent_annual_mean': [0, 1], 'kzt_usd': [0, 1], 'log_kz_gdp': [0], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_broad_B': [0, 1]}"
2014,broad,level,ex_both,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,broad,ratio,full,OLS,-0.156055,0.051378,0.002386,24.0,ok,
2014,broad,ratio,full,ARDL_long_run,-0.182483,0.03656,0.000544,24.0,ok,"AIC lags y=[1]; x={'minerals_broad_B': [0, 1], 'brent_annual_mean': [0], 'kzt_usd': [0, 1], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_broad_B': [0, 1]}"
2014,broad,ratio,full,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,broad,ratio,ex_2009,OLS,-0.143581,0.049126,0.00347,23.0,ok,
2014,broad,ratio,ex_2009,ARDL_long_run,-0.10585,0.060144,0.121813,23.0,ok,"AIC lags y=[1]; x={'minerals_broad_B': [0, 1], 'brent_annual_mean': [0, 1], 'kzt_usd': [0, 1], 'log_kz_gdp': [0], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_broad_B': [0, 1]}"
2014,broad,ratio,ex_2009,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,broad,ratio,ex_2020,OLS,-0.133146,0.038113,0.000477,23.0,ok,
