Variable,Coefficient,HAC_SE,t_stat,p_value,Significance
const,-3.7253,2.6957,-1.382,0.1849,
minerals_narrow_B,2.4296,1.3025,1.865,0.0795,*
brent_annual_mean,0.033,0.0477,0.692,0.4984,
kzt_usd,0.0129,0.0105,1.224,0.2376,
post_bri_2013,1.3311,1.6141,0.825,0.421,
post_bri_x_minerals,-2.604,1.1395,-2.285,0.0354,**
oil_exports_B,-0.4452,0.8545,-0.521,0.6091,
