model,bri_var,n,r_squared,adj_r_squared,ardl_aic,aic_selected_lags,oil_exports_note,pss_f_stat,pss_upper_pval,pss_lower_pval,cointegration,coef_minerals,pval_minerals,coef_brent,pval_brent,coef_bri_var,pval_bri_var,coef_interaction,pval_interaction,cusum_stable_5pct,cusumsq_stable_5pct
Model_A_dummy,post_bri_2013,24,0.8022,0.6967,90.8384,"y:[] | x:minerals_narrow_B:[0]; brent_annual_mean:[0, 1]; log_cn_gdp:[0, 1]; post_bri_2013:[0, 1]; post_bri_2013_x_minerals_narrow_B:[0, 1]; oil_exports_B:[0]",excluded_all_missing,1.4889,0.7983,0.2305,NO COINTEGRATION,4.3459,0.0019,0.0774,0.086,6.5295,0.0099,-3.7671,0.0049,True,False
Model_B_intensity,bri_intensity,24,0.7392,0.6,94.9108,"y:[1] | x:minerals_narrow_B:[0, 1]; brent_annual_mean:[0, 1]; kzt_usd:[0, 1]; log_kz_gdp:[0]; log_cn_gdp:[0, 1]; bri_intensity:[0]; bri_intensity_x_minerals_narrow_B:[0]",excluded_all_missing,1.6465,0.7006,0.1536,NO COINTEGRATION,64.2366,0.0168,0.0643,0.1625,1.1396,0.0259,-2.6476,0.019,True,False
