period,years,observations,mean_exports_usd_million,mean_imports_usd_million,mean_trade_balance_usd_million,mean_ores_metals_exports_usd_million,mean_ores_metals_export_share_pct
Pre/transition BRI,2000-2013,14,6317.55,2970.31,3347.25,1917.9,35.32
Post-BRI,2014-2023,10,7851.29,5770.5,2080.79,2759.02,35.17
