variable,pre_mean,pre_sd,pre_n,post_mean,post_sd,post_n,pct_change_mean
Trade Balance (USD),3347245744.428571,3424201049.0276423,14,2080788631.9150002,2615888753.8232303,10,-37.83579722587042
Trade Balance Ratio,0.4045348571428571,0.13751363264158836,14,0.1974742,0.22148238918092086,10,-51.18487405641188
Minerals Narrow (USD),1917900151.5714285,1488505011.429009,14,2478300383.899,1167002367.853579,10,29.219468587476182
Minerals Broad (USD),1917900151.5714285,1488505011.429009,14,3605283824.3760004,1384992800.1316524,10,87.98078833363753
Brent Crude (USD/bbl),64.87384977685738,33.18608893295884,14,68.00345833333334,20.758845586006405,10,4.824144963248953
Copper (USD/mt),5062.752479069314,2730.3523731117125,14,6875.511249999999,1494.863339549231,10,35.80579493911826
BRI Intensity (log1p),20.98981710356269,3.358836223735067,14,24.439251497977008,0.12240248627777241,10,16.433846838183413
KAZ GDP constant 2015 (USD),120504971033.86537,34574360805.88434,14,203509756837.1018,16922822932.486423,10,68.88079810409621
